,year,failure,success,unknown,total,us_jp_a,us_jp_b,us_jp_ab,change_usjp,ch_pap_app,ch_nk_trade,ch_nk_perc,pprk_china_un,usa_gdp_gr,rok_gdp_gr,jp_gdp_gr,gdp_gr_ave,china_fdi_bil,change_ch_fdi,asia_gdp,s_asia_gdp,us_jp_un,us_rok_un,rok_dprk_un,jp_rok_un,jp_mil,us_mil,rok_mil,us_gdppc,jp_gdppc,k_gdppc
1,1984,3,3,NA,6,57,NA,57,NA,NA,NA,NA,NA,7.24,10.55,4.41,7.40,0.13,NA,6.16,4.22,0.82,NA,NA,NA,0.96,6.24,5.25,17121.22548,2413.263925,10978.91981
2,1985,NA,NA,NA,0,56,NA,56,-1,4065,NA,NA,NA,4.17,7.84,5.16,5.72,0.63,3.69,5.70,5.43,0.89,NA,NA,NA,0.96,6.45,5.23,18236.82773,2482.399956,11576.69211
3,1986,NA,NA,1,1,55,NA,55,-1,3494,NA,NA,NA,3.46,11.33,3.29,6.03,0.45,-0.28,4.92,4.82,0.84,NA,NA,NA,0.96,6.63,4.95,19071.22719,2834.903848,17113.26232
4,1987,NA,NA,NA,0,54,NA,54,-1,3975,NA,NA,NA,3.46,12.72,4.65,6.94,0.65,0.43,6.26,4.23,0.86,NA,NA,NA,0.97,6.42,4.47,20038.9411,3554.595206,20748.99092
5,1988,NA,NA,NA,0,48,NA,48,-6,4780,NA,NA,NA,4.18,11.99,6.66,7.61,0.85,0.32,7.61,8.39,0.93,NA,NA,NA,0.95,6.07,4.28,21417.01193,4748.629608,25059.00743
6,1989,NA,NA,NA,0,50,NA,50,2,4749,NA,NA,NA,3.67,7.07,4.93,5.22,0.78,-0.08,5.15,5.39,0.89,NA,NA,NA,0.94,5.87,4.29,22857.15443,5817.029181,24822.77557
7,1990,1,1,NA,2,44,NA,44,-6,5832,NA,NA,NA,1.89,9.88,4.84,5.53,0.83,0.06,5.07,5.39,0.90,NA,NA,NA,0.94,5.61,4,23888.60001,6610.036508,25371.46417
8,1991,NA,1,NA,1,44,NA,44,0.00,7372,NA,NA,0.97,-0.11,10.78,3.52,4.73,0.91,0.10,4.85,2.06,0.92,0.37,0.86,0.82,0.94,4.88,3.71,24342.2589,7636.982429,28915.0082
9,1992,1,NA,NA,1,49,NA,49,5.00,10022,541065162,0.0013,0.98,3.52,6.20,0.90,3.54,4.00,3.38,4.24,5.77,0.94,0.41,0.82,0.89,0.95,4.97,3.69,25418.99078,8126.67039,31414.98464
10,1993,NA,3,1,4,50,79.00,65,15.50,12084,602297933,0.0014,0.98,2.75,6.88,-0.46,3.06,4.40,0.10,4.20,4.33,0.92,0.45,0.78,0.84,0.95,4.60,3.42,26387.29373,8884.928319,35681.96394
11,1994,NA,NA,NA,0,43,74.00,59,-6.00,11191,424459357,0.0008,0.94,4.03,9.27,1.08,4.79,2.00,-0.55,5.24,5.95,0.94,0.52,0.75,0.86,0.92,4.22,3.19,27694.85342,10385.33617,39933.51506
12,1995,NA,NA,NA,0,54,81.00,68,9.00,10011,485997873,0.0007,0.94,2.68,9.61,2.63,4.98,2.00,0.00,5.67,6.85,0.95,0.46,0.77,0.93,0.92,3.86,2.89,28690.8757,12564.77813,44197.6191
13,1996,NA,NA,NA,0,54,87.00,71,3.00,11628,496980844,0.0007,0.95,3.77,7.89,3.13,4.93,2.11,0.06,5.62,6.74,0.94,0.52,0.75,0.89,0.91,3.55,2.74,29967.71272,13403.04959,39150.03963
14,1997,NA,NA,NA,0,59,87.00,73,2.50,12672,534646444,0.0007,0.95,4.45,6.17,0.98,3.87,3.77,0.78,4.06,3.73,0.94,0.56,0.66,0.90,0.92,3.41,2.66,31459.13898,12398.48003,35638.23196
15,1998,1,NA,NA,1,60,89.00,75,1.50,13751,355676480,0.0005,0.94,4.48,-5.13,-1.27,-0.64,4.53,0.20,0.45,5.49,0.90,0.59,0.68,0.92,0.94,3.20,2.79,32853.67695,8281.699982,32423.75561
16,1999,NA,NA,NA,0,61,87.00,74,-0.50,15626,328668684,0.0004,0.96,4.79,11.47,-0.33,5.31,4.04,-0.11,3.73,7.58,0.96,0.58,0.64,0.94,0.95,3.09,2.49,34515.39023,10672.41793,36610.16832
17,2000,NA,NA,NA,0,60,87.00,74,-0.50,25346,450803994,0.0006,0.97,4.08,9.06,2.76,5.30,4.61,0.14,5.39,4.11,0.90,0.54,0.72,0.92,0.93,3.11,2.46,36329.95607,12256.99357,39169.35957
18,2001,NA,NA,NA,0,61,85.00,73,-0.50,30038,573099190,0.0008,0.96,0.95,4.85,0.39,2.06,9.70,1.10,3.31,4.45,0.94,0.51,0.69,0.94,0.95,3.12,2.43,37133.62311,11561.24837,34406.18246
19,2002,NA,NA,NA,0,67,91.00,79,6.00,39806,467539283,0.0006,0.94,1.70,7.73,0.04,3.15,6.28,-0.35,4.38,3.60,0.95,0.46,0.62,0.95,0.96,3.45,2.32,37997.75966,13165.06574,32820.79364
20,2003,NA,NA,NA,0,67,91.00,79,0.00,56769,627737013,0.0009,0.96,2.80,3.15,1.54,2.49,8.46,0.35,4.95,7.25,0.93,0.46,0.71,0.94,0.96,3.83,2.33,39490.27496,14672.85747,35387.03742
21,2004,NA,NA,NA,0,68,89.00,79,-0.50,65786,799499576,0.0011,0.98,3.85,5.20,2.19,3.75,7.97,-0.06,5.87,7.51,0.98,0.41,0.68,0.94,0.94,4.02,2.33,41724.63163,16496.12009,38298.98017
22,2005,NA,NA,NA,0,72,90.00,81,2.50,93485,1081103675,0.0015,0.96,3.48,4.31,1.80,3.20,13.73,0.72,5.90,7.52,0.95,0.44,0.71,0.90,0.93,4.09,2.47,44123.40707,19402.50263,37812.89502
23,2006,1,6,NA,7,69,91.00,80,-1.00,122318,1232322985,0.0017,0.93,2.78,5.26,1.37,3.14,23.93,0.74,6.46,7.63,0.96,0.45,0.62,0.96,0.92,4.04,2.49,46302.00088,21743.47745,35991.546
24,2007,NA,NA,NA,0,74,91.00,83,2.50,153060,1392492098,0.0019,0.95,2.01,5.80,1.48,3.10,17.15,-0.28,7.47,7.23,0.90,0.40,0.70,0.90,0.90,4.08,2.47,48050.22378,24086.41044,35779.02454
25,2008,NA,NA,NA,0,67,92.00,80,-3.00,194579,2032431315,0.0028,0.95,0.12,3.01,-1.22,0.64,56.74,2.31,4.39,3.26,0.92,0.45,0.63,0.94,0.92,4.46,2.49,48570.04598,21350.42798,39876.30397
26,2009,1,7,NA,8,80,91.00,86,6.00,229096,1887740680,0.0026,0.89,-2.60,0.79,-5.69,-2.50,43.89,-0.23,2.56,6.93,0.92,0.58,0.59,0.95,0.98,4.89,2.6,47194.94335,19143.85161,41308.99684
27,2010,NA,NA,NA,0,79,90.00,85,-1.00,293066,2277346913,0.0031,0.87,2.71,6.80,4.10,4.54,57.95,0.32,7.61,7.47,0.89,0.57,0.63,0.93,0.96,4.92,2.46,48650.64313,23087.22564,44968.15623
28,2011,NA,NA,NA,0,84,90.00,87,2.50,415829,3164703511,0.0043,0.83,1.55,3.69,0.02,1.75,48.42,-0.16,5.47,5.10,0.88,0.68,0.48,0.98,0.99,4.84,2.47,50065.9665,25096.26388,48760.07895
29,2012,1,1,NA,2,84,90.00,87,0.00,535313,3532383242,0.0048,0.81,2.28,2.40,1.37,2.02,64.96,0.34,5.18,5.48,0.90,0.60,0.58,0.95,0.97,4.48,2.5,51784.41857,25466.76052,49145.28043
30,2013,NA,6,NA,6,76,93.00,85,-2.50,704936,3630074854,0.0049,0.88,1.84,3.16,2.01,2.34,72.97,0.12,5.24,6.02,0.86,0.52,0.59,0.96,0.95,4.05,2.5,53291.12769,27182.73431,40898.6479
31,2014,NA,19,NA,19,73,90.00,82,-3.00,801135,3519651278,0.0048,0.91,2.29,3.20,0.30,1.93,123.13,0.69,4.76,6.90,0.88,0.60,0.56,0.90,0.97,3.70,2.53,55123.84979,29249.57522,38475.39525
32,2015,2,13,NA,15,73,83.00,78,-3.50,968252,2942917107,0.0040,0.92,2.71,2.81,1.56,2.36,174.39,0.42,4.72,7.37,0.55,0.61,0.61,0.92,0.96,3.48,2.49,56762.72945,28732.23108,34960.63938
33,2016,10,14,NA,24,82,86.00,84,6.00,1204981,2841206355,0.0039,0.85,1.67,2.95,0.75,1.79,216.42,0.24,4.67,7.67,0.55,0.75,0.49,0.92,0.94,3.42,2.46,57866.74493,29288.87044,39375.47316
34,2017,6,14,1,21,84,86.00,85,1.00,1245709,3245097511,0.0044,0.85,2.26,3.16,1.68,2.36,138.29,-0.36,5.06,6.44,0.71,0.63,0.58,0.89,0.93,3.31,2.42,59914.7778,31616.8434,38834.05293
35,2018,NA,NA,NA,0,87,90.00,89,3.50,1393815,2217062020,0.0030,0.90,2.92,2.91,0.58,2.14,143.03,0.03,4.74,6.37,0.53,0.51,0.62,0.88,0.94,3.32,2.5,62805.25376,33436.92306,39727.1166
36,2019,1,26,NA,27,85,89.00,87,-1.50,1243568,2573789925,0.0035,0.90,2.29,2.24,-0.24,1.43,136.91,-0.04,3.98,3.91,0.48,0.54,0.64,0.90,0.94,3.43,2.67,65094.79943,31902.4169,40458.00188
37,2020,NA,9,NA,9,70,96.00,83,-4.00,1344817,490967988,0.0007,0.92,-3.40,-0.85,-4.51,-2.92,153.72,0.12,-0.18,-5.24,0.48,0.51,0.67,0.86,1.00,3.74,2.85,63027.67953,31597.50465,39918.16756
38,2021,NA,6,NA,6,70,93.00,82,-1.50,NA,259606631,0.0004,0.93,5.67,4.02,1.62,3.77,NA,NA,5.76,8.32,0.44,0.61,0.60,0.88,NA,NA,NA,69287.53659,34757.72007,39285.16311
39,2022,27,4,13,44,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,,,,NA,NA,NA,NA,NA,NA